[2016-06-05 11:29:29.184] [INFO] access - 200 GET /news/1 485ms
[2016-06-05 11:29:29.447] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:29:29.454] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:29:30.204] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:29:30.298] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:29:32.185] [INFO] access - 200 GET /news/2 767ms
[2016-06-05 11:29:32.399] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:29:32.401] [WARN] access - 304 GET /home/js/base.js 12ms
[2016-06-05 11:29:33.124] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:29:33.211] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:29:34.406] [WARN] access - 304 GET /news/0 725ms
[2016-06-05 11:29:34.658] [WARN] access - 304 GET /home/css/main.css 90ms
[2016-06-05 11:29:34.664] [WARN] access - 304 GET /home/js/base.js 26ms
[2016-06-05 11:29:35.360] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:29:35.444] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:40:42.575] [ERROR] access - 500 GET /news 140ms
[2016-06-05 11:41:09.603] [ERROR] access - 500 GET /news 113ms
[2016-06-05 11:41:18.750] [INFO] access - 200 GET /news 723ms
[2016-06-05 11:41:18.842] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:18.845] [WARN] access - 304 GET /home/js/base.js 3ms
[2016-06-05 11:41:19.632] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:41:19.694] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:41:22.119] [INFO] access - 200 GET /news/1 783ms
[2016-06-05 11:41:22.185] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:41:22.188] [WARN] access - 304 GET /home/js/base.js 4ms
[2016-06-05 11:41:22.622] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:22.654] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:41:24.982] [INFO] access - 200 GET /news/2 1014ms
[2016-06-05 11:41:25.052] [WARN] access - 304 GET /home/css/main.css 14ms
[2016-06-05 11:41:25.059] [WARN] access - 304 GET /home/js/base.js 18ms
[2016-06-05 11:41:25.438] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:25.528] [WARN] access - 304 GET /home/js/base.js 8ms
[2016-06-05 11:41:27.309] [WARN] access - 304 GET /news/0 859ms
[2016-06-05 11:41:27.472] [WARN] access - 304 GET /home/css/main.css 5ms
[2016-06-05 11:41:27.477] [WARN] access - 304 GET /home/js/base.js 8ms
[2016-06-05 11:41:27.871] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:27.909] [WARN] access - 304 GET /home/js/base.js 4ms
[2016-06-05 11:41:29.225] [WARN] access - 304 GET /news/1 626ms
[2016-06-05 11:41:29.303] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:41:29.304] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:41:29.639] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:41:29.699] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:41:31.237] [WARN] access - 304 GET /news/0 731ms
[2016-06-05 11:41:31.292] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:41:31.293] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:41:31.676] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:31.777] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:41:33.086] [WARN] access - 304 GET /news/2 760ms
[2016-06-05 11:41:33.193] [WARN] access - 304 GET /home/css/main.css 6ms
[2016-06-05 11:41:33.194] [WARN] access - 304 GET /home/js/base.js 6ms
[2016-06-05 11:41:33.535] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:41:33.604] [WARN] access - 304 GET /home/js/base.js 0ms
[2016-06-05 11:41:35.449] [WARN] access - 304 GET /news/0 672ms
[2016-06-05 11:41:35.611] [WARN] access - 304 GET /home/css/main.css 7ms
[2016-06-05 11:41:35.613] [WARN] access - 304 GET /home/js/base.js 8ms
[2016-06-05 11:41:35.982] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:41:36.016] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:42:05.382] [ERROR] access - 500 GET /news/0 90ms
[2016-06-05 11:42:23.326] [INFO] access - 200 GET /news/0 709ms
[2016-06-05 11:42:23.431] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:42:23.447] [WARN] access - 304 GET /home/js/base.js 18ms
[2016-06-05 11:42:23.910] [WARN] access - 304 GET /home/css/main.css 3ms
[2016-06-05 11:42:23.957] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:42:26.631] [WARN] access - 304 GET /news/1 817ms
[2016-06-05 11:42:26.693] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:42:26.695] [WARN] access - 304 GET /home/js/base.js 4ms
[2016-06-05 11:42:27.186] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:42:27.241] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:42:28.312] [WARN] access - 304 GET /news/2 460ms
[2016-06-05 11:42:28.403] [WARN] access - 304 GET /home/css/main.css 8ms
[2016-06-05 11:42:28.429] [WARN] access - 304 GET /home/js/base.js 13ms
[2016-06-05 11:42:28.918] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:42:28.951] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:42:30.468] [WARN] access - 304 GET /news/1 748ms
[2016-06-05 11:42:30.524] [WARN] access - 304 GET /home/css/main.css 7ms
[2016-06-05 11:42:30.527] [WARN] access - 304 GET /home/js/base.js 8ms
[2016-06-05 11:42:30.915] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:42:30.950] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:42:32.028] [WARN] access - 304 GET /news/0 584ms
[2016-06-05 11:42:32.096] [WARN] access - 304 GET /home/css/main.css 4ms
[2016-06-05 11:42:32.098] [WARN] access - 304 GET /home/js/base.js 4ms
[2016-06-05 11:42:32.498] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:42:32.566] [WARN] access - 304 GET /home/js/base.js 0ms
[2016-06-05 11:44:07.744] [WARN] access - 304 GET /news/1 1007ms
[2016-06-05 11:44:07.826] [WARN] access - 304 GET /home/css/main.css 9ms
[2016-06-05 11:44:07.832] [WARN] access - 304 GET /home/js/base.js 14ms
[2016-06-05 11:44:08.282] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:44:08.336] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:44:10.953] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:46:03.630] [WARN] access - 304 GET /news/0 878ms
[2016-06-05 11:46:04.042] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:46:04.052] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:46:04.790] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:46:04.837] [WARN] access - 304 GET /home/js/base.js 2ms
[2016-06-05 11:46:06.948] [INFO] access - 200 GET /news/1 1084ms
[2016-06-05 11:46:07.191] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:46:07.195] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:46:08.081] [WARN] access - 304 GET /home/css/main.css 2ms
[2016-06-05 11:46:08.135] [WARN] access - 304 GET /home/js/base.js 0ms
[2016-06-05 11:46:10.102] [INFO] access - 200 GET /news/2 744ms
[2016-06-05 11:46:10.310] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:46:10.317] [WARN] access - 304 GET /home/js/base.js 1ms
[2016-06-05 11:46:11.019] [WARN] access - 304 GET /home/css/main.css 1ms
[2016-06-05 11:46:11.131] [WARN] access - 304 GET /home/js/base.js 2ms
